,Unnamed: 0,storeNumber,latitude,longitude,postalCode
512,7737,60833-293213,33.338829,-111.605084,85212
513,7738,19282-181688,33.297564,-111.743728,852950858
514,7739,48576-263526,33.307745,-111.756254,852955592
515,7740,73849-118684,33.348574,-111.720097,852961168
516,7741,73702-106030,33.160694,-111.560372,85143
517,7742,76302-96624,33.278624,-111.785779,852972004
518,7743,29379-251913,33.24666,-111.789098,852492507
519,7744,6756-70860,33.377407,-111.635548,852091224
520,7745,53660-283182,33.377776,-111.63366,85212
521,7746,72565-103444,33.377687,-111.620753,852098325
522,7747,56909-290579,33.333977,-111.757372,85296
523,7748,48890-245841,33.2458,-111.791632,85249
524,7749,9413-95026,33.281391,-111.788928,852972012
525,7750,11889-105156,33.234498,-111.790893,852494552
526,7751,72536-102068,33.23498,-111.791448,852494552
527,7752,51996-273925,33.337249,-111.757179,85296
528,7753,73578-74774,33.217768,-111.790911,852493671
529,7754,5610-244258,33.378952,-111.68739,852094812
530,7755,11891-103701,33.380628,-111.600772,852092604
531,7756,22387-167244,33.304883,-111.78792,852955202
532,7757,5966-298280,33.348276,-111.754931,85296
533,7758,74237-64179,33.348892,-111.756804,852961376
534,7759,60027-293370,33.391255,-111.667996,85209
535,7760,20665-204611,33.388903,-111.684678,85206
536,7761,62895-296431,33.377897,-111.720685,85234
537,7762,55374-288618,33.393183,-111.61563,852093809
